NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
355,"SPINACH,CND,REG PK,SOL&LIQUIDS",93.22,19,2.11,0.37,1.38,2.92,1.6,0.33,83,1.58,56,32,230,319,0.42,0.116,0.493,1.2,13.5,0.018,0.106,0.271,0.038,0.08,58,0,58,58,15.2,0,8084,404,0,0,4850,0,0,8722,1.6,0,0,380.8,0.06,0.01,0.155,0
356,"SPINACH,CND,REG PK,DRND SOL",91.78,23,2.81,0.5,1.51,3.4,2.4,0.4,127,2.3,76,44,346,322,0.46,0.18,0.597,1.4,14.3,0.016,0.138,0.388,0.047,0.1,98,0,98,98,18.4,0,9801,490,0,0,5881,0,0,10575,1.94,0,0,461.6,0.081,0.013,0.211,0
357,"SPINACH,FRZ,CHOPD OR LEAF,UNPREP",90.17,29,3.63,0.57,1.43,4.21,2.9,0.65,129,1.89,75,49,346,74,0.56,0.144,0.704,6,5.5,0.094,0.224,0.507,0.094,0.172,145,0,145,145,22.1,0,11726,586,0,0,7035,0,0,12651,2.9,0,0,372,0.041,0,0.082,0
358,"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,WO/SALT",88.94,34,4.01,0.87,1.39,4.8,3.7,0.51,153,1.96,82,50,302,97,0.49,0.161,0.717,5.5,2.2,0.078,0.176,0.439,0.075,0.136,121,0,121,121,24.8,0,12061,603,0,0,7237,0,0,15690,3.54,0,0,540.7,0.157,0,0.371,0
359,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",94.28,19,1.01,0.27,0.56,3.88,1,2.88,21,0.44,20,32,222,2,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19,0,19,19,7.1,0,150,8,0,0,90,0,0,290,0.13,0,0,3.2,0.093,0.013,0.082,0
360,"SQUASH,SMMR,CROOKNECK & STRAIGHTNECK,CKD,BLD,DRND,WO/ SALT",94.25,23,1.04,0.39,0.53,3.79,1.1,2.48,22,0.37,16,29,177,1,0.22,0.065,0.157,0.2,11.6,0.043,0.025,0.507,0.323,0.078,23,0,23,23,7.9,0,1117,56,0,0,670,0,0,315,0.12,0,0,4.4,0.064,0.023,0.131,0
361,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CND,DRND,SOLID,WO/SALT",96.04,13,0.61,0.07,0.32,2.96,1.4,1.19,12,0.71,13,21,96,5,0.29,0.08,0.097,0.2,2.7,0.016,0.027,0.418,0.048,0.042,10,0,10,10,4.9,0,102,5,0,0,61,0,0,198,0.12,0,0,2.8,0.015,0.005,0.031,0
362,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,UNPREP",93.66,20,0.83,0.14,0.58,4.8,1.2,,18,0.48,23,35,209,5,0.37,0.085,0.162,0.2,6.4,0.04,0.048,0.4,0.088,0.088,12,0,12,12,,0,279,14,0,,,,,,,0,0,,0.029,0.011,0.06,0
363,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,WO/SALT",92.24,25,1.28,0.2,0.74,5.54,1.4,2.33,20,0.52,27,41,253,6,0.34,0.073,0.263,0.3,6.8,0.036,0.047,0.44,0.102,0.099,13,0,13,13,9.7,0,201,10,0,0,120,0,0,388,0.15,0,0,5.4,0.04,0.015,0.082,0
364,"SQUASH,SUMMER,SCALLOP,RAW",94.18,18,1.2,0.2,0.58,3.84,1.2,2.39,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,18,0.07,0.03,0.6,0.102,0.109,30,0,30,30,7.3,0,217,11,0,0,130,0,0,2308,0.13,0,0,3.3,0.041,0.015,0.084,0
365,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",95,16,1.03,0.17,0.5,3.3,1.9,1.5,15,0.33,19,28,140,1,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21,0,21,21,6.2,0,85,4,0,0,51,0,0,250,0.12,0,0,3.5,0.035,0.013,0.072,0
366,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",94.79,17,1.21,0.32,0.58,3.11,1,2.5,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,0,24,24,9.5,0,200,10,0,0,120,0,0,2125,0.12,0,0,4.3,0.084,0.011,0.091,0
367,"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,WO/SALT",95.22,15,1.14,0.36,0.59,2.69,1,1.71,18,0.37,19,37,264,3,0.33,0.052,0.173,0.2,12.9,0.035,0.024,0.51,0.288,0.08,28,0,28,28,9.4,0,1117,56,0,0,670,0,0,1150,0.12,0,0,4.2,0.072,0.029,0.151,0
368,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP",94.7,17,1.16,0.13,0.43,3.58,1.3,1.71,18,0.51,13,28,218,2,0.21,0.05,0.244,0.2,5.3,0.048,0.042,0.433,0.297,0.05,10,0,10,10,,0,198,10,0,0,119,0,0,2102,0.12,0,0,4.2,0.027,0.01,0.056,0
369,"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO/SALT",94.74,17,1.15,0.13,0.42,3.56,1.3,1.69,17,0.48,13,25,194,2,0.2,0.047,0.23,0.2,3.7,0.041,0.04,0.386,0.265,0.045,8,0,8,8,9.4,0,177,9,0,0,106,0,0,1877,0.12,0,0,4.2,0.027,0.01,0.055,0
370,"SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND",90.61,29,1.03,0.11,1.4,6.85,,,17,0.68,14,29,274,374,0.26,0.098,0.24,0.4,2.3,0.042,0.04,0.528,0.274,0.152,30,0,30,30,,0,539,27,0,,,,,,,0,0,,0.023,0.008,0.047,0
371,"SQUASH,WINTER,ACORN,RAW",87.78,40,0.8,0.1,0.9,10.42,1.5,,33,0.7,32,36,347,3,0.13,0.065,0.167,0.5,11,0.14,0.01,0.7,0.4,0.154,17,0,17,17,,0,367,18,0,0,220,0,0,38,,0,0,,0.021,0.007,0.042,0
372,"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",82.9,56,1.12,0.14,1.26,14.58,4.4,,44,0.93,43,45,437,4,0.17,0.086,0.242,0.7,10.8,0.167,0.013,0.881,0.504,0.194,19,0,19,19,,0,428,21,0,,,,,,,0,0,,0.029,0.01,0.059,0
373,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",89.7,34,0.67,0.08,0.76,8.79,2.6,,26,0.56,26,27,263,3,0.11,0.052,0.146,0.4,6.5,0.1,0.008,0.531,0.303,0.117,11,0,11,11,,0,817,41,0,0,490,0,0,66,,0,0,,0.017,0.006,0.035,0
374,"SQUASH,WNTR,BUTTERNUT,RAW",86.41,45,1,0.1,0.8,11.69,2,2.2,48,0.7,34,33,352,4,0.15,0.072,0.202,0.5,21,0.1,0.02,1.2,0.4,0.154,27,0,27,27,,0,10630,532,0,834,4226,3471,0,0,1.44,0,0,1.1,0.021,0.007,0.042,0
375,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",87.8,40,0.9,0.09,0.72,10.49,3.2,1.97,41,0.6,29,27,284,4,0.13,0.065,0.172,0.5,15.1,0.072,0.017,0.969,0.359,0.124,19,0,19,19,,0,11155,558,0,1130,4570,3116,0,0,1.29,0,0,1,0.019,0.007,0.038,0
376,"SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP",82.5,57,1.76,0.1,1.23,14.41,1.3,2.83,29,0.88,14,22,212,2,0.17,0.051,0.248,0.7,6.2,0.09,0.059,0.74,0.221,0.11,24,0,24,24,,0,4790,240,0,376,1904,1564,0,0,1.85,0,0,1.4,0.021,0.007,0.042,0
377,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT",87.8,39,1.23,0.07,0.86,10.05,,,19,0.58,9,14,133,2,0.12,0.036,0.173,0.5,3.5,0.05,0.039,0.464,0.154,0.069,16,0,16,16,,0,3339,167,0,,,,,,,0,0,,0.014,0.005,0.029,0
378,"SQUASH,WINTER,HUBBARD,RAW",88,40,2,0.5,0.8,8.7,3.9,3.95,14,0.4,19,21,320,7,0.13,0.064,0.179,0.5,11,0.07,0.04,0.5,0.4,0.154,16,0,16,16,11.8,0,1367,68,0,0,820,0,0,0,0.16,0,0,1.3,0.103,0.037,0.21,0
379,"SQUASH,WNTR,HUBBARD,BKD,WO/ SALT",85.1,50,2.48,0.62,0.99,10.81,4.9,4.9,17,0.47,22,23,358,8,0.15,0.045,0.17,0.6,9.5,0.074,0.047,0.558,0.447,0.172,16,0,16,16,14.6,0,6705,335,0,885,3580,0,0,0,0.2,0,0,1.6,0.128,0.046,0.26,0
380,"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT",91.1,30,1.48,0.37,0.59,6.46,2.9,2.93,10,0.28,13,14,214,5,0.1,0.047,0.126,0.3,6.5,0.042,0.028,0.334,0.297,0.103,10,0,10,10,8.7,0,4005,200,0,406,1641,1119,0,0,0.12,0,0,1,0.076,0.028,0.156,0
381,"SQUASH,WNTR,SPAGHETTI,RAW",91.6,31,0.64,0.57,0.28,6.91,1.5,2.76,23,0.31,12,12,108,17,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12,0,12,12,8.2,0,120,6,0,16,64,0,0,0,0.13,0,0,0.9,0.117,0.042,0.239,0
382,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",92.3,27,0.66,0.26,0.32,6.46,1.4,2.53,21,0.34,11,14,117,18,0.2,0.035,0.109,0.3,3.5,0.038,0.022,0.81,0.355,0.099,8,0,8,8,7.5,0,110,6,0,15,59,0,0,0,0.12,0,0,0.8,0.062,0.022,0.126,0
383,"SUCCOTASH,(CORN&LIMAS),RAW",73.1,99,5.03,1.02,1.26,19.59,3.8,,18,1.83,48,113,369,4,0.61,0.186,0.688,0.6,15.1,0.208,0.082,1.587,0.128,0.13,40,0,40,40,,0,292,15,0,,,,,,,0,0,,0.19,0.198,0.489,0
384,"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT",68.37,115,5.07,0.8,1.39,24.38,4.5,,17,1.52,53,117,410,17,0.63,0.179,0.769,0.6,8.2,0.168,0.096,1.327,0.567,0.116,33,0,33,33,,0,294,15,0,,,,,,,0,0,,0.148,0.155,0.381,0
385,"SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN",78.17,77,2.64,0.54,1.04,17.61,3,,11,0.55,1,59,183,245,0.43,0.178,0.645,0.6,6.4,0.027,0.065,0.607,0.218,0.128,44,0,44,44,,0,141,7,0,,,,,,,0,0,,0.101,0.105,0.26,0
386,"SUCCOTASH,(CORN&LIMAS),CND,W/WHL KERNEL CORN,SOL&LIQUIDS",81.96,63,2.6,0.49,0.96,13.98,2.6,,11,0.53,19,55,163,221,0.5,0.109,0.366,0.6,4.6,0.029,0.058,0.64,0.309,0.049,32,0,32,32,,0,146,7,0,,,,,,,0,0,,0.092,0.096,0.236,0
387,"SUCCOTASH,(CORN&LIMAS),FRZ,UNPREP",74.11,93,4.31,0.89,0.75,19.94,4,,16,0.94,24,78,295,45,0.47,0.063,0.295,0.6,8.5,0.087,0.072,1.375,0.258,0.1,42,0,42,42,,0,257,13,0,,,,,,,0,0,,0.166,0.173,0.427,0
388,"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,WO/SALT",74.1,93,4.31,0.89,0.75,19.95,4.1,2.21,15,0.89,23,70,265,45,0.45,0.06,0.28,0.6,5.9,0.074,0.068,1.306,0.232,0.095,33,0,33,33,29.1,0,194,10,0,9,82,61,0,342,0.18,0,0,2.7,0.166,0.173,0.427,0
389,"SWAMP CABBAGE,(SKUNK CABBAGE),RAW",92.47,19,2.6,0.2,1.6,3.14,2.1,,77,1.67,71,39,312,113,0.18,0.023,0.16,0.9,55,0.03,0.1,0.9,0.141,0.096,57,0,57,57,,0,6300,315,0,,,,,,,0,0,,,,,0
390,"SWAMP CABBAGE (SKUNK CABBAGE),CKD,BLD,DRND,WO/ SALT",92.93,20,2.08,0.24,1.05,3.7,1.9,,54,1.32,30,42,284,122,0.16,0.021,0.143,0.9,16,0.05,0.08,0.5,0.126,0.081,35,0,35,35,,0,5200,260,0,,,,,,,0,0,,0.039,0.007,0.1,0
391,"SWEET POTATO LEAVES,RAW",86.81,42,2.49,0.51,1.36,8.82,5.3,,78,0.97,70,81,508,6,,,,0.9,11,0.156,0.345,1.13,0.225,0.19,,0,1,1,,0,3778,189,0,42,2217,58,0,14720,,0,0,302.2,0.111,0.02,0.228,0
392,"SWEET POTATO LEAVES,CKD,STMD,WO/ SALT",89.2,41,2.18,0.34,0.89,7.38,1.9,5.48,33,0.63,48,40,312,7,0.26,0.033,0.229,0.9,1.5,0.112,0.267,1.003,0.2,0.16,49,0,49,49,21,0,2939,147,0,33,1725,45,0,11449,0.96,0,0,108.6,0.065,0.012,0.134,0
393,"SWEET POTATO,RAW,UNPREP",77.28,86,1.57,0.05,0.99,20.12,3,4.18,30,0.61,25,47,337,55,0.3,0.151,0.258,0.6,2.4,0.078,0.061,0.557,0.8,0.209,11,0,11,11,12.3,0,14187,709,0,7,8509,0,0,0,0.26,0,0,1.8,0.018,0.001,0.014,0
394,"SWEET POTATO,CKD,BKD IN SKN,FLESH,WO/ SALT",75.78,90,2.01,0.15,1.35,20.71,3.3,6.48,38,0.69,27,54,475,36,0.32,0.161,0.497,0.2,19.6,0.107,0.106,1.487,0.884,0.286,6,0,6,6,13.1,0,19218,961,0,43,11509,0,0,0,0.71,0,0,2.3,0.052,0.002,0.092,0
395,"SWEET POTATO,CKD,BLD,WO/ SKN",80.13,76,1.37,0.14,0.63,17.72,2.5,5.74,27,0.72,18,32,230,27,0.2,0.094,0.266,0.2,12.8,0.056,0.047,0.538,0.581,0.165,6,0,6,6,10.8,0,15740,787,0,0,9444,0,0,0,0.94,0,0,2.1,0.031,0,0.061,0
396,"SWEETPOTATO,CND,VACUUM PK",76.03,91,1.65,0.2,1,21.12,1.8,5,22,0.89,22,49,312,53,0.18,0.139,0.455,0.7,26.4,0.037,0.057,0.741,0.523,0.19,17,0,17,17,13,0,7983,399,0,0,4790,0,0,0,1,0,0,2.2,0.041,0.008,0.084,0
397,"SWEET POTATO,CND,MSHD",73.88,101,1.98,0.2,0.75,23.19,1.7,5.45,30,1.33,24,52,210,75,0.21,0.278,0.988,0.8,5.2,0.027,0.09,0.955,0.512,0.235,11,0,11,11,,0,8699,435,0,0,5219,0,0,0,1.09,0,0,2.4,0.041,0.008,0.084,0
398,"SWEET POTATO,FRZ,UNPREP",74.89,96,1.71,0.18,1,22.22,1.7,,37,0.53,22,45,365,6,0.31,0.177,0.665,0.6,13.3,0.067,0.051,0.597,0.515,0.177,21,0,21,21,,0,10367,518,0,,6220,,,,,0,0,,0.039,0.007,0.08,0
399,"SWEET POTATO,FRZ,CKD,BKD,WO/ SALT",73.7,100,1.71,0.12,1.07,23.4,1.8,9.17,35,0.54,21,44,377,8,0.3,0.183,0.665,0.6,9.1,0.066,0.056,0.555,0.56,0.186,22,0,22,22,,0,20870,1043,0,47,12498,0,0,0,0.77,0,0,2.5,0.025,0.005,0.049,0
400,"TARO,RAW",70.64,112,1.5,0.2,1.2,26.46,4.1,0.4,43,0.55,33,84,591,11,0.23,0.172,0.383,0.7,4.5,0.095,0.025,0.6,0.303,0.283,22,0,22,22,17.3,0,76,4,0,0,35,20,0,0,2.38,0,0,1,0.041,0.016,0.083,0
401,"TARO,COOKED,WITHOUT SALT",63.8,142,0.52,0.11,0.97,34.6,5.1,0.49,18,0.72,30,76,484,15,0.27,0.201,0.449,0.9,5,0.107,0.028,0.51,0.336,0.331,19,0,19,19,21.3,0,84,4,0,0,39,22,0,0,2.93,0,0,1.2,0.023,0.009,0.046,0
402,"TARO LEAVES,RAW",85.66,42,4.98,0.74,1.92,6.7,3.7,3.01,107,2.25,45,60,648,3,0.41,0.27,0.714,0.9,52,0.209,0.456,1.513,0.084,0.146,126,0,126,126,12.8,0,4825,241,0,0,2895,0,0,1932,2.02,0,0,108.6,0.151,0.06,0.307,0
403,"TARO LEAVES,CKD,STMD,WO/SALT",92.15,24,2.72,0.41,0.7,4.02,2,,86,1.18,20,27,460,2,0.21,0.14,0.371,0.9,35.5,0.139,0.38,1.267,0.044,0.072,48,0,48,48,21,0,4238,212,0,,,,,,,0,0,,0.083,0.033,0.168,0
404,"TARO SHOOTS,RAW",95.82,11,0.92,0.09,0.85,2.32,,,12,0.6,8,28,332,1,0.51,0.088,0.122,0.9,21,0.04,0.05,0.8,0.075,0.111,3,0,3,3,,0,50,3,0,,,,,,,0,0,,0.018,0.007,0.037,0
405,"TARO SHOOTS,CKD,WO/SALT",95.3,14,0.73,0.08,0.7,3.2,,,14,0.41,8,26,344,2,0.54,0.094,0.13,1,18.9,0.038,0.053,0.81,0.076,0.112,3,0,3,3,,0,51,3,0,,,,,,,0,0,,0.016,0.006,0.033,0
406,"TARO,TAHITIAN,RAW",87.96,44,2.79,0.97,1.38,6.91,,,129,1.3,47,45,606,50,0.09,0.071,0.157,0.7,96,0.062,0.244,0.995,0.124,0.116,9,0,9,9,,0,2045,102,0,,,,,,,0,0,,0.197,0.078,0.4,0
407,"TARO,TAHITIAN,CKD,WO/SALT",86.46,44,4.16,0.68,1.85,6.85,,,149,1.56,51,67,623,54,0.1,0.076,0.168,0.8,38,0.044,0.198,0.48,0.126,0.117,7,0,7,7,,0,1764,88,0,,,,,,,0,0,,0.139,0.055,0.282,0
408,"TOMATOES,GREEN,RAW",93,23,1.2,0.2,0.5,5.1,1.1,4,13,0.51,10,28,204,13,0.07,0.09,0.1,0.4,23.4,0.06,0.04,0.5,0.5,0.081,9,0,9,9,8.6,0,642,32,0,78,346,0,0,0,0.38,0,0,10.1,0.028,0.03,0.081,0
409,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",94.52,18,0.88,0.2,0.5,3.89,1.2,2.63,10,0.27,11,24,237,5,0.17,0.059,0.114,0,13.7,0.037,0.019,0.594,0.089,0.08,15,0,15,15,6.7,0,833,42,0,101,449,0,2573,123,0.54,0,0,7.9,0.028,0.031,0.083,0
410,"TOMATOES,RED,RIPE,CKD",94.34,18,0.95,0.11,0.6,4.01,0.7,2.49,11,0.68,9,28,218,11,0.14,0.075,0.105,0.5,22.8,0.036,0.022,0.532,0.129,0.079,13,0,13,13,6.9,0,489,24,0,0,293,0,3041,94,0.56,0,0,2.8,0.015,0.016,0.044,0
411,"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC",94.75,16,0.79,0.25,0.74,3.47,1.9,2.55,33,0.57,10,17,191,115,0.12,0.052,0.068,0.7,12.6,0.575,0.055,0.712,0.117,0.111,8,0,8,8,6.4,0,408,20,0,0,245,0,2537,78,0.59,0,0,2.6,0.034,0.04,0.101,0
412,"TOMATOES,RED,RIPE,CND,STWD",91.54,26,0.91,0.19,1.17,6.19,1,3.52,34,1.33,12,20,207,221,0.17,0.112,0.059,0.6,7.9,0.046,0.035,0.714,0.114,0.017,5,0,5,5,10.4,0,172,9,0,0,103,0,4088,126,0.83,0,0,2.4,0.026,0.029,0.077,0
413,"TOMATOES,RED,RIPE,CND,W/GRN CHILIES",94.23,15,0.69,0.08,1.39,3.62,,,20,0.26,11,14,107,401,0.13,0.09,0.132,0.4,6.2,0.034,0.019,0.64,0.148,0.103,9,0,9,9,,0,390,20,0,,,,,,,0,0,,0.011,0.011,0.03,0
414,"TOMATO JUC,CND,W/SALT",94.24,17,0.85,0.29,1.09,3.53,0.4,2.58,10,0.39,11,19,217,253,0.11,0.042,0.068,0.5,70.1,0.1,0.078,0.673,,0.07,20,0,20,20,6.8,0,450,23,0,0,270,0,9037,60,0.32,0,0,2.3,0.019,0.005,0.027,0
415,"TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED",73.5,82,4.32,0.47,2.8,18.91,4.1,12.18,36,2.98,42,83,1014,59,0.63,0.365,0.302,5.3,21.9,0.06,0.153,3.076,0.142,0.216,12,0,12,12,38.5,0,1525,76,0,29,901,0,28764,0,4.3,0,0,11.4,0.1,0.067,0.16,0
416,"TOMATO PRODUCTS,CND,PUREE,WO/SALT",87.88,38,1.65,0.21,1.28,8.98,1.9,4.83,18,1.78,23,40,439,28,0.36,0.287,0.169,0.7,10.6,0.025,0.08,1.466,0.44,0.126,11,0,11,11,17.6,0,510,26,0,0,306,0,21754,0,1.97,0,0,3.4,0.029,0.031,0.086,0
417,"TOMATO POWDER",3.06,302,12.91,0.44,8.91,74.68,16.5,43.9,166,4.56,178,295,1927,134,1.71,1.241,1.951,5.3,116.7,0.913,0.761,9.133,3.76,0.457,120,0,120,120,,0,17247,862,0,0,10348,0,46260,1370,12.25,0,0,48.8,0.062,0.066,0.179,0
418,"TOMATO PRODUCTS,CND,SAU",91.28,24,1.2,0.3,1.92,5.31,1.5,3.56,14,0.96,15,27,297,474,0.22,0.115,0.113,0.6,7,0.024,0.065,0.991,0.309,0.098,9,0,9,9,9.9,0,435,22,0,0,259,3,13895,24,1.44,0,0,2.8,0.041,0.045,0.121,0
419,"TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS",87.97,35,1.45,0.13,2.02,8.43,1.5,5.77,13,0.89,19,32,380,452,0.21,0.199,0.188,0.2,12.4,0.072,0.108,1.265,0.367,0.133,9,0,9,9,,0,955,48,0,0,570,6,18942,31,1.92,,,3.8,0.017,0.01,0.05,0
420,"TOMATO PRODUCTS,CND,SAU,W/ONIONS",86.09,42,1.56,0.19,2.21,9.94,1.8,,17,0.93,19,39,413,551,0.23,0.181,0.301,0.8,12.7,0.073,0.133,1.242,0.368,0.267,22,0,22,22,,0,850,43,0,,,,,,,0,0,,0.03,0.028,0.077,0
421,"TOMATO PRODUCTS,CND,SAU,W/HERBS&CHS",83.43,59,2.13,1.93,2.27,10.24,2.2,,37,0.87,19,54,356,543,0.36,0.174,0.188,0.9,10,0.076,0.124,1.209,0.275,0.019,8,0,8,8,,,987,49,0,,,,,,,0,0,,0.627,0.38,0.825,3
422,"TOMATO PRODUCTS,CND,SAU,W/ONIONS,GRN PEPPERS,&CELERY",88.28,41,0.94,0.74,1.27,8.77,1.4,7.36,13,0.76,21,38,398,368,0.28,0.198,0.244,0.6,13.2,0.067,0.12,1.095,0.221,0.194,14,0,14,14,13,0,810,41,0,0,483,6,18454,30,1.18,0,0,3.7,0.133,0.102,0.337,0
423,"TOMATO PRODUCTS,CND,SAU,W/TOMATO TIDBITS",89.09,32,1.32,0.39,2.11,7.09,1.4,,10,0.68,20,42,373,15,0.19,0.014,0.22,0.6,21.5,0.073,0.097,1.183,0.219,0.155,9,0,9,9,,0,801,40,0,,,,,,,0,0,,0.055,0.058,0.157,0
424,"TREE FERN,CKD,WO/SALT",88.6,40,0.29,0.07,0.06,10.98,3.7,,8,0.16,5,4,5,5,0.31,0.202,0.539,0.9,30,0,0.3,3.5,0.063,0.179,15,0,15,15,,0,200,10,0,,,,,,,0,0,,0.009,0.005,0.034,0
425,"TURNIPS,RAW",91.87,28,0.9,0.1,0.7,6.43,1.8,3.8,30,0.3,11,27,191,67,0.27,0.085,0.134,0.7,21,0.04,0.03,0.4,0.2,0.09,15,0,15,15,11.1,0,0,0,0,0,0,0,0,0,0.03,0,0,0.1,0.011,0.006,0.053,0
426,"TURNIPS,CKD,BLD,DRND,WO/SALT",93.6,22,0.71,0.08,0.55,5.06,2,2.99,33,0.18,9,26,177,16,0.12,0.002,0.071,0.2,11.6,0.027,0.023,0.299,0.142,0.067,9,0,9,9,8.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0.1,0.008,0.005,0.042,0
427,"TURNIPS,FROZEN,UNPREPARED",95.67,16,1.04,0.16,0.19,2.94,1.8,,23,0.7,10,20,137,25,0.14,0.045,0.071,0.4,4.4,0.03,0.02,0.4,0.106,0.048,8,0,8,8,,0,26,1,0,,,,,,,0,0,,0.017,0.01,0.085,0
428,"TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",93.6,23,1.53,0.24,0.28,4.35,2,2.35,32,0.98,14,26,182,36,0.2,0.063,0.1,0.6,3.9,0.035,0.028,0.56,0.141,0.067,8,0,8,8,8.7,0,0,0,0,0,0,0,0,0,0.02,0,0,0.1,0.025,0.015,0.125,0
429,"TURNIP GREENS,RAW",89.67,32,1.5,0.3,1.4,7.13,3.2,0.81,190,1.1,31,42,296,40,0.19,0.35,0.466,1.2,60,0.07,0.1,0.6,0.38,0.263,194,0,194,194,,0,11587,579,0,0,6952,0,0,12825,2.86,0,0,251,0.07,0.02,0.12,0
430,"TURNIP GRNS,CKD,BLD,DRND,WO/SALT",93.2,20,1.14,0.23,1.07,4.36,3.5,0.53,137,0.8,22,29,203,29,0.14,0.253,0.337,0.9,27.4,0.045,0.072,0.411,0.274,0.18,118,0,118,118,0.3,0,7625,381,0,0,4575,0,0,8440,1.88,0,0,367.6,0.053,0.015,0.091,0
431,"TURNIP GRNS,CND,SOL&LIQUIDS",94.69,14,1.36,0.3,1.23,2.42,1.7,,118,1.51,20,21,141,277,0.23,0.083,0.277,0.7,15.5,0.012,0.063,0.362,0.04,0.037,41,0,41,41,,0,3586,179,0,,,,,,,0,0,,0.07,0.02,0.12,0
432,"TURNIP GRNS,FRZ,UNPREP",92.93,22,2.47,0.31,0.62,3.67,2.5,,118,1.51,27,27,184,12,0.17,0.057,0.369,0.9,26.8,0.044,0.091,0.383,0.14,0.1,74,0,74,74,,0,6184,309,0,,,,,,,0,0,,0.073,0.02,0.125,0
433,"TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT",90.4,29,3.35,0.42,0.85,4.98,3.4,0.75,152,1.94,26,34,224,15,0.41,0.15,0.475,1.2,21.8,0.054,0.074,0.468,0.069,0.067,39,0,39,39,0.5,0,10765,538,0,0,6459,0,0,11915,2.66,0,0,518.9,0.099,0.028,0.17,0
434,"TURNIP GRNS&TURNIPS,FRZ,UNPREP",93.13,21,2.46,0.19,0.83,3.39,2.4,,114,1.63,18,24,82,18,0.16,0.051,0.22,0.9,25.8,0.044,0.088,0.388,0.123,0.074,41,0,41,41,,0,6108,305,0,,,,,,,0,0,,0.032,0.012,0.088,0
435,"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT",91.04,35,2.99,0.38,0.74,4.85,3.1,1.07,128,1.75,24,32,216,19,0.37,0.133,0.4,1.1,18.2,0.05,0.065,0.486,0.083,0.067,33,0,33,33,2.1,0,8612,431,0,0,5167,0,0,9532,2.13,0,0,415.1,0.085,0.024,0.16,0
